ID,HashTags,TweetText,mentions_other,User,ritter_candidates,calai_candidates,stanford_candidates
1623,,"@NiallOfficial @1027KIISFM @iHeartRadio Niall when can I preorder the album.?? 😍 and book tix for tour.? 😍
I need them so bad 😍😍",niall;;,musicsoul_1,,[],niall
1624,,good ass 😂,,ourslalita,,[],
1625,WangoTango,Liam watching Niall perform at  tonight 13/5/17,"liam, niall",horanosaur,liam,[],"liam,niall"
1626,WangoTango,"It's about time we get to see Alessia and Zedd performing ""STAY"" at  tonight! ","alessia, zedd",AlessiaCWorld,alessia,"['""stay""']","alessia,zedd"
1627,"wangotango, dead",I'm watching @niallhorran play at  and @Liampayne is standing directly next to me.,,fckme_t0mmo,,[],
1628,WangoTango,Alessia at  carpet today!,alessia,ackingdxm,alessia,[],alessia
1629,WangoTango,Miley singing 'Jolene' on stage tonight at !,miley,chem_is_TRY__,jolene,[],miley
1630,WangoTango,Miley performing 'We Can't Stop',"miley, we can't stop",Oshes,,[],miley
1631,"a1array, EverythingEverything",Our backstage social stop was so much fun! Thanks to our friends  and . Hi @Jiffpom!!,;;,1027KIISFM,,[],
1632,WangoTango,"Hey Violet performant Brand New Moves au , Carson (13/05) | realpatrickjones","violet, carson",dodo199137,"violet,brand new moves au,carson",[],carson
1633,wangotango,@NiallOfficial Performing at  today Really proud Niall,niall,YusriyaSabani,,[],niall
1634,,"next to you
malibuuuu ",;,radiateorange,,[],
1635,WangoTango,Niall tonight at,niall,OnMyMindNjh,,[],niall
1636,WangoTango,@1027KIISFM  is so awesome and so many talented people at there ♥,,onedire79089870,,[],
1637,WangoTango,Yaaaay Maroon 5 with the Prince cover!!!!  😭😭,prince;,TakeGarr,"yaaaay maroon,prince",['the prince'],yaaaay maroon
1638,WangoTango,.@NiallOfficial hits ! 😍😍,;,unicorniohorang,,[],
1639,"WangoTango, WangoTango2017",Holy fucking SHIT 🔥🔥,,NickysAngelBaby,,[],
1640,WangoTango,❤️❤️loved seeing you guys,,gocoo_59,,[],
1641,WangoTango,Miley threw flowers in the crowd💐,miley,StuckInBookland,miley,[],miley
1642,,What a single. So so proud of our Sunshine!,;,25andmadabout1D,,[],
1643,WangoTango,Liam at  today! -P,liam;,xElaPayneX,liam,[],liam
1644,WangoTango,Camila on @ashlee_juno's Instagram story,camila,LalYazareth,camila,['instagram'],camila
1645,WangoTango,"Hailee Steinfeld cantando ""Love Myself"" no  - 13 de maio.","hailee steinfeld, cantando",perriexplicts,hailee steinfeld,[],hailee steinfeld
1646,,MY POOR NIAM HEART OMG,,colismariah,,[],
1647,WangoTango,Our fave @aaroncarter just taught @CassieDiLaura how to Tango at @1027KIISFM !,,gabbybi11r2d,tango,[],
1648,WangoTango,Finishing up with Prince tribute @maroon5 at,prince,Tony14M5fan,prince,"['prince', 'prince']",prince
1649,,@NiallHFrance Best performance?,,PopPoIls,,[],
1650,WangoTango,Camila today at,camila,veyvix,,[],camila
1651,"WangoTango, BackstreetBoys",Up close and personal with the @backstreetboys @1027KIISFM @extratv  …,,sapnasajnani,,[],
1652,WangoTango,"Don't forget to Buy ""Malibu"" by @MileyCyrus which was performed tonight at  

Buy:   🌊 ",malibu;;,acousticmiley,malibu,[],
1653,WangoTango,ADAM LEVINE/MAROON 5 IS SINGING LET'S GO CRAZY BY PRINCE 💜,"adm levine, maroon 5, prince",LarryBuzzinHome,"adam,prince","['prince', 'prince', 'adam levine']",adam levinemaroon
1654,WangoTango,NIAM AT THE,niam,niallxcontrol,,[],niam
1655,WangoTango,Live on the Yellow Carpet at  with @alexonthemic and the @backstreetboys,,AngieGodoyBSB,the yellow carpet,[],
1656,WangoTango,Camila no Instagram story da @Chelsea_Briggs,"camila, instagram",screammila,,['instagram'],camila
1657,WangoTango,Give us @brian_littrell with a kid any day!,,WHOTheBckstreet,,[],
1658,"StripBackDown, WangoTango",Liam just jumped on stage to talk about his new single ! Out next Friday! | @iHeartRadio,liam;;,901Music,liam,[],liam
1659,,@camila_cabello @1027KIISFM  Could you sort this post for us camilizer?please say yes! I really wanted to win.…,;;,MicaJaraCS,,[],
1660,"twins, twinbrother, WangoTango, UFC211","What this toddler did to save his trapped twin brother will shock you! ,,, ",;,robertparr1682,,[],
1661,wangotango,fam photo,,gocoo_59,,[],
1662,WangoTango,Check out all of the @backstreetboys Meet and Greet photos from  here:  Numbers 116-131,,WHOTheBckstreet,,[],
1663,WangoTango,Goodness knows what a relationship must be.,,IckeBot3000,,[],
1664,WangoTango,"Niall cantando This Town en el !! 
 ","niall cantando, this town",Cardozo_Yanel,,[],niall
1665,"OneDirection, WangoTango",.@LiamPayne from  at @1027KIISFM,,Lhiminated,,[],
1666,,"@HaileeSteinfeld I love you, you are the most beautiful woman in the world.💓💗😍😍 ",;,Angelvilches4,,[],
1667,"WangoTango, wangotango2017","Who are you most excited to see perform today at ? 

(1 day poll, vote and retweet.)",;;;;;,camilacc1BR,,[],
1668,WangoTango,@WK_Stylez @aaroncarter The tweet is gone. 🙄 I just told my friend that Aaron is gonna be at  &amp; I'd tell…,;aaron,ThaRealJakeD,aaron,[],aaron
1669,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on backstage of  

  ",camila,garciacabello2,camila,[],camila
1670,WangoTango,More pics of Miley backstage,miley,MySmilerSide,miley backstage,[],miley
1671,WangoTango,"Otro video de Niall cantando ""Slow Hands"" 😍😍  (via @chxudry)  ","niall cantando, slow hands",candu2019,,[],
1672,"Malibu, WangoTango",.@MileyCyrus performing,,FabiolaRomn5,,[],
1673,WangoTango,"AHHH @aaroncarter sang a ""I Want Candy"" remix at the  Village! ",i want candy,NJHLove93,the village,[],
1674,WangoTango,Kick A$$ performance ladies @HaileeSteinfeld @jamiehauptmann,,SummerBowden4,,[],
1675,"CamilaCabello, KatyPerry, WangoTango",📸  and  at,,camEElaFoca,,[],
1676,WangoTango,So much talent in one photo 👍🏼😁 @alessiacara @Zedd 🙌🏼,,onedire79089870,,[],
1677,WangoTango,Miley performing Malibu for the first time ever at  !,"miley, malibu",khelms1998,miley performing malibu,['malibu'],"miley,malibu"
1678,"WangoTango, M5OnWangoTango",SUGAR YES PLEASE,,MariSpagiari97,,[],
1679,WANGOTANGO,"LIAM VIENDO A NIALL EN  . -CT♡

","liam viendo, niall;",sehunsunhe,liam,['liam viendo'],
1680,WangoTango,"""You know I had to come bearing gifts!""- Miley so cute!   💐😘🌷🌸 ",; miley;,MySmilerSide,,[],miley
1681,,A PERFORMER!!,,camilareecy,,[],
1682,WangoTango,Niall en el !! 😍😍😍,niall;,sweetcreatommo,,[],
1683,WangoTango,UPDATE || Liam backstage at,liam,cacaehs,,[],liam
1684,WangoTango,Miley with her friends &amp; crew backstage at .,miley,chem_is_TRY__,miley,['miley'],miley
1685,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO",Camila on @901Music's Instagram story,camila,garciacabello2,camila,[],camila
1686,WangoTango,"Bon Appétit at  was everything, I'm in love 😍 ",bon appétit,MyperfKaty,,['bon appétit'],bon appétit
1687,,BUT ADAMS HAIR THO 😍,adams,awkwardninyyy,,[],adams
1688,WangoTango,We can't get over @adamlevine's voice!!!! @maroon5 is rocking the  stage!!!,;,nathalia9901,,[],
1689,WangoTango,Beautiful Prince tribute by 😍😲😭 @maroon5,prince,bertha_la,beautiful prince,['prince'],
1690,"SlowHands, WangoTango",onairwithryan: just over here trying to keep our  to ourselves during niallhoran at ,,sandravasquez02,,[],
1691,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO",Camila with @CassieDiLaura  (via @sweetyhigh),camila,garciacabello2,camila,[],camila
1692,WangoTango,"
My Niam heart 😍❤❤
That friendship goals ! ",niam;,1d__universe,,[],niam
1693,WangoTango,Liam watching Niall's performance at,"liam, niall",Nialler_auan,"liam,niall",[],liam
1694,WangoTango,Noticing some missing band members at tonight's performance.... @katyperry WHERE ARE JOSH AND ADAM!?!? 😩,"; josh, adam;",gabrielmvalois,"josh,adam",['adam'],josh
1695,WangoTango,On The Loose Love It,on the loose,margarita_haban,,[],
1696,WangoTango,LIAM PAYNE!!!!,liam payne,simplizziety,liam payne,['liam payne'],liam payne!!!!
1697,WangoTango,i would love to go a @maroon5 concert!!,,slorena415,,[],
1698,WangoTango,Where you at @harrystyles @Louis_Tomlinson?,,901Music,,[],
1699,"babystingray, funnyanimal, WangoTango, UFC211","Adorable Baby Stingrays Dancing with Smiley Face ,,, ",,hannahparsons93,"baby stingrays,smiley face",[],smiley face
1700,WangoTango,Camila and @machinegunkelly on stage at .,camila,Fefe1H,,[],camila
1701,WangoTango,Camila with @TanyaRad on @1027KIISFM's Snapchat story,camila,AilennCabello,camila,['snapchat'],camila
1702,WangoTango,LIAM WAS JUST ON STAGE IM FREAKING OUT,liam,hazzasvibes,liam,[],liam
1703,WangoTango,If you promise to be gentle I'll let you touch my,,MrRickyGarcia,,[],
1704,WANGOTANGO,@adamlevine is fucken hottttttt,,KarinaJauregui,,[],
1705,WangoTango,Miley and Noah singing happy birthday to @tishcyrus at  tonight! 🎈,"miley, noah",intoulouis,"miley,noah",[],"miley,noah"
1706,WangoTango,📸 | Liam no  .,liam,1DinfiniteZayn,,[],liam
1707,WangoTango,"Maroon 5 the best at  
I love them so much ❤️❤️❤️",Maroon 5;,bryana_07,,[],
1708,"LOVERS, WangoTango",@NiallOfficial wants to see YOU at ! 🤞🏼Watch the live stream here:  👏🏼,;,LoorViviana_,,[],
1709,WangoTango,Niall no Red Carpet do . (7),"niall, red carpet;",SLOVES1D5X,red carpet,[],niall
1710,WangoTango,Thanks @maroon5 and @adamlevine !!!!,,MikaylaRagovin,,[],
1711,"WangoTango, BonAppétit",Her dance moves during the Migos part was everything 😍🔥🔥,migos,trillharmonys,,[],
1712,WangoTango,BXIXUUSH LIAM IS THERE WATCHING NIALL MY WIG FLEW I LOVE NIAM,"liam, niam",daisy_styles77,bxixuush liam,['niall my'],niall
1713,,Look who showed up to support his friends and tease his new music coming out NEXT Friday!!! @LiamPayne!!!,;,1027KIISFM,,[],
1714,wangotango,Niall hoy cantando ' Slow Hands ' en Wango Tango .,"nial, slow hands, wango tango",addictederick,tango,['wango tango'],niall
1715,"WangoTango, Malibu","Miley literally SLAYED the  stage!
She sang  ,Jolene and WCS!

Watch performance :… ","miley; jolene, wcs;;",JustEvaP,jolene,[],miley
1716,"Malibu, WangoTango",.@MileyCyrus is JUST as excited as we are to watch her perform  🌊 at ! Watch the stream:…,;,Mili_soledad95,,[],
1717,WangoTango,Camila Cabello just KILLED IT at  tonight with MGK!,"camila cabello, mgk",aboutlittlemila,"camila cabello,mgk",['camila cabello'],camila cabello
1718,WangoTango,"Queen @katyperry SLAAAYED the  stage! Take a peek on our Snapchat / Instagram! 
Username:… ",";snapchat, instagram;",slayprismatic,,"['instagram', 'snapchat', 'queen']",
1719,WangoTango,Camila with fans backstage at,camila,sxphx_199x,camila,[],camila
1720,WangoTango,WHUT? LIAM'OK THE NIGHT IS REALLY INSANE,; liam,camilizerharmos,,[],
1721,"a1array, EverythingEverything",Our backstage social stop was so much fun! Thanks to our friends  and . Hi @Jiffpom!!…,;;;,jiffpom,,[],
1722,WangoTango,"@maroon5 with the Prince ""Let's Go Crazy"" cover. I knew Adam's purple guitar meant something. Yes.","prince, let's go crazy; adam;",CainMcCoy,"prince,adam","['""let\'s go crazy""', 'adam', 'the prince']",
1723,WangoTango,She's the cutest! We love you @HaileeSteinfeld ✨,;,RosseJ_MY,,[],
1724,,I wish...,,Mickeynotthemo1,,[],
1725,"cc1, CC1isHere, WangoTango",@Camila_Cabello CC1 is here!,,biancaPELIN,,[],
1726,WangoTango,always with great perfomances @alessiacara @HaileeSteinfeld @Zedd @NiallOfficial @Jordan_Fisher @noahcyrus @Camila_Cabello,,issisotelo,,['fisher'],
1727,WangoTango,.@MileyCyrus was also the most interactive with her fans at ,,juliacrowe_,,[],
1728,WangoTango,@maroon5 WE NEED A GUITAR SOLO ON THE NEXT ALBUM,,fantasygirlm5,,[],
1729,WangoTango,"Update  | Niall performing at 102.7 KIIS FM’s 2017  •May 13th, 2017! /isa",niall;,signofhstyles94,,['102.7 kiis fm'],"niall,kiis"
1730,WangoTango,"Selfie from Louis, Liam at , and performances from Harry and Niall. Today has been a great day.… ","louis, liam, harry, niall;",OliviaMarie1322,"louis,liam,harry and niall","['niall', 'harry']","liam,harry"
1731,WangoTango,"Pretty sure you should tune in to our Snapchat / Instagram right now... 
📱: @capitolrecords 
 ","snapchat, instagram;;",captain_smores,,"['snapchat', 'instagram']","snapchat,instagram"
1732,WangoTango,RT @CCabelloNews: Camila with @machinegunkelly (via jimmynickles on Instagram),camila,CamilaDailyMX,camila,"['instagram', 'rt']",camila
1733,WangoTango,Excuse us.. @NiallOfficial coming through,;,Zeleza_x,,[],
1734,"Malibu, Jolene, WeCantStop",Her performance gave me such Wonder World Tour vibes! ☺️Anyone else?    ,wonder world tour;,_mileycyrusnl,,[],
1735,WangoTango,"Niall performando ""On The Loose"" no 
MEU DEUS
(via @chxudry)
 ","niall, on the loose; meu deus;;",pizzakardashian,"on the loose,meu","['""on the loose""']",niall
1736,"Despacito, wangotango",Thank you @1027kiisfm for the invite. LA you sounded amazing singing  …,; la,sahana_vinod,,[],
1737,WangoTango,".@NiallOfficial covering @DUALIPA / @MartinGarrix's ""Scared To Be Lonely""  ",scared to be lonely,jaasmine23,,[],
1738,,i hope so,,niallsoberano,,[],
1739,WangoTango,sisanie: Always happy to be the bread on a Niall sandwich 🍞 see you at  niallhoran!,niall,roswellmcdio,niall,[],
1740,,This. Is. Horrifying.,;;,wulffisthename,,[],
1741,,They are both so hot,,badxromance,,[],
1742,,".@renalovelis from @HeyViolet got off stage and ran straight to the @OtterPops! Gotta stay cool, right?! … ",;;,NJHLove93,,[],
1743,,. @MileyCyrus told @officialellenk she has something up her sleeve that's going to involve a lot of balloons tonigh…,;,Imamileyfans,,[],
1744,WangoTango,We can't wait for @halsey's new album. AHHH!   ,;,1027KIISFM,,[],
1745,WangoTango,One more from Niall on the  yellow carpet! We'll go live on Instagram (@901Music) during his performance…,niall;,nlnahzza,,['instagram'],niall
1746,WangoTango,"FREE 
THE
NIPPLE

@MileyCyrus  ",;;;;,sai_witch,,[],
1747,WangoTango,"Niall performando ""Scared To Be Lonely"" (3)","niall, scared to be lonely",jornawlz,,[],niall
1748,WangoTango,Niall cantando 'Slow Hands' esta tarde en el ! (2),"niall cantando, slow hands;",arely_tb,,[],niall
1749,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on @iHeartRadio snapchat.

   ",camila,garciacabello2,camila,[],camila
1750,,ONE DREAM ONE BAND ONE DIRECTION,,galwayroses,,['dream'],
1751,,I LOVE MY SONS SUPPORTING EACH OTHER,,lunenarry,,[],
1752,WangoTango,@LiamPayne I love that you went to see Niall at . Supportive brother. 1D forever. :),niall;;;,rrs1489,niall,[],niall
1753,"cat, cutecat, WangoTango, UFC211","Cat watching a horror movie will be the cutest thing you will see today! ,,, ",cat;,andreagreene741,,[],
1754,WangoTango,"Meet &amp; greet photos of @backstreetboys from .
",,KaosOnline,,[],
1755,,my  1d ship stays winning,,projectwrecked,,[],
1756,,Baby is so cute 💓,,itsAshLopez,,[],
1757,,I'm so upset,,izabella_a_,,[],
1758,WangoTango,.@1027KIISFM's post on Instagram,,saiiapichaya,,['instagram'],instagram
1759,WangoTango,Bout had a heart attack when the said @LiamPayne was here at . 1 more week till we have a full set of singles from the boys!,;,alexinlalaland,,['heart attack'],
1760,"maroon5, Prince, WangoTango"," doing a great cover of  ""Let's Go Crazy"" at  ",let's go crazy,MVanterpool,let 's go crazy,"['""let\'s go crazy""']",
1761,WangoTango,Alessia Cara on the  yellow carpet just now 👋🏽 | @iHeartRadio,alessia cara,outlawsharmony,alessia cara,[],alessia cara
1762,WangoTango,@noahcyrus &amp; @MileyCyrus surprised mommy @tishcyrus with a birthday cake at  tonight! HAPPY BIRTHDAY MT…,;,ng3ld0wn,,[],
1763,WangoTango,".@MileyCyrus performing ""Malibu"" live for the first time at  is EVERYTHING! @1027KIISFM",malibu;,StephySmilovVe,malibu,"['""malibu""']",
1764,,Christ. As Dolly Parton dies a little bit more.....,christ; dolly parton,rickydigital,dolly parton,['dolly parton'],dolly parton
1765,WangoTango,📸 | Liam at  tonight -11,liam,xElaPayneX,liam,[],liam
1766,"OnTheLoose, WangoTango",When @NiallOfficial brings out  💃🏻,,RealRachelMarin,,[],
1767,WANGOTANGO,"OH MY FUCKING GOD LIAM JUST WATCHED NIALL'S PERFORMANCE CAN YOU HEAR ME SCREAM 
 
 ","liam, niall",xLarrySyndrome,liam,[],
1768,WangoTango,Alessia backstage at !,alessia,greedyalessia,,[],alessia
1769,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO",Camila on @1027KIISFM's yellow carpet.,camila,garciacabello2,camila,[],camila
1770,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on 's red carpet.

  ",camila,garciacabello2,camila,[],camila
1771,WangoTango,"When the sound cuts out right at the top of your set and your just like 
""IT AINT MY FAULT"" 😩😂  ",;,DinahMyCaptain,,[],
1772,"WangoTango, WN1D",Liam en el backstage de,liam,arely_tb,liam,[],liam
1773,WangoTango,Just a quick pep talk from @katyperry before @noahcyrus hits the  stage 👭❤️,,perrygwza,,[],
1774,WangoTango,.@HaileeSteinfeld is seriously goals....and killing the outfit game,,onedire79089870,,[],
1775,WangoTango,miley cantando y bailando we can't stop MY 2013 FEELS,"miley, cantando",Sebastianariasy,,[],
1776,WangoTango,Niall con fans en el ! (3),niall;,RebeZantosh1D,,[],niall
1777,,HONESTLY SAVED ME,,niallohhh,,[],
1778,WangoTango,Geli's Instagram. Stella! And adorable lil June 💕,"geli, instagram; stella; june",gabrielmvalois,"geli 's instagram,stella",[],
1779,WangoTango,"In honour of  being today, here's a throwback to Zayn performing at last year's Wango Tango! ",zayn; wango tango,ZeeZzZayN,wango tango,['wango tango'],zayn
1780,WangoTango,Maroon 5 covering Prince...what else could you want in life??,"maroon 5, prince;",MrStevenJohnson,"maroon 5,prince","['prince', 'prince']",
1781,,NIALL IN A FUCKING HENLEY SINGING SLOW HANDS.. I'VE DIED AND GONE TO HEAVEN (minus that fucking hat),"niall, henley, slow hands;",callmekaitxo,,[],niall
1782,WangoTango,Miley singing 'We Cant Stop' at .,,chem_is_TRY__,,[],miley
1783,WangoTango,is trending worldwide.,we cant stop,CelebUpd8s,,[],
1784,WangoTango,Liam at  tonight.  (via @wydnialll),;,1DInfoForFans,liam,[],liam
1785,wangotango,Camila with @tanyarad on @1027KIISFM's Snapchat story,liam,saiiapichaya,camila,['snapchat'],camila
1786,"SamuraiJack, UFC211, BookOfJohnGray, GB400, WangoTango, MostRequestedLive"," , Joevin Jones ,  ,  , Bryce Harper ,  ,  , ",camila,nipponupdate,"joevin jones,bryce harper",['bryce harper'],"joevin jones,bryce harper"
1787,,Yes they were everything except good,"joevin jones, bryce harper",zenmani,,[],
1788,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on @ashlee_juno's Instagram story.

   ",camila,garciacabello2,camila,['instagram'],camila
1789,WangoTango,Camila no yellow Carpet do,camila,HeyLaurmila,,[],camila
1790,WangoTango,Our first  Village artist @HeyViolet has hit the stage!!,,NJHLove93,village,['first  village artist'],
1791,WangoTango,i'm so proud of her,,queengrimmiex,,[],
1792,"Awesometech, hightech, WangoTango, UFC211","Mercedes F015 Concept Car Drives Itself To CES Las Vegas ,,,","mercedes, las vegas",edwardbond2581,"mercedes f015,vegas",['mercedes f015'],
1793,WangoTango,Guess whose set this is😉,,pphox,,[],
1794,,.@EsperanzaGomez @LasMasPutasMex @Culos_Enormes @CamGirlzParty @LindasPutitas @CamGirlz1 @CamGirlErotica…,,rubicon765,,[],
1795,"PREMIOSMTVMIAW, MTVINSTAGLCABELLO",CamilaNationBr:,,LittleCCabeyo,,[],
1796,WangoTango,Niall performing Slow Hands at  today! -J,"niall, slow hands;",CelebUpd8s,,[],niall
1797,WangoTango,Justin singing Hold Tight last 2 years ago at,"justin, hold tight",francesxasg,justin,['hold tight'],justin
1798,"wangotango, upgrade",Please upgrade my little sister and i to the pit so she can see her fave Miley!!!,miley,Amrozek25,,[],
1799,WangoTango,"Yesssss 🙌🏽 @katyperry performing her new single ""Bon Appetit"" at @1027KIISFM",bon appetit,prismxticboy,bon appetit,[],
1800,,i will die for her tummy RIGHT NOW,,darthleias,,[],
1801,,Guess who's in the building! 😍 Get those dancing shoes on because @alessiasmusic and @zedd are coming up!…,;;,Karla77508059,,[],
1802,"Jolene, WangoTango",.@MileyCyrus is BACK and taking us back to her roots with  at,,MiPhiaPerfect,,[],
1803,WangoTango,KIIS/Los Angeles Releases The Lineup For The Free Wango Tango ...  ⚡🌟,wango tango,Luciana0738,kiis/los angeles releases,"['los angeles', 'wango tango']",
1804,WangoTango,"Everybody, rock your body! 😍 @backstreetboys ",;,BackstreetLamb,,[],
1805,WangoTango,"i miss justin's performance back in 2015 :,(",justin,bizzlesthrone,justin,[],
1806,WangoTango,It's a beautiful night at  Zedd is on stage!,zedd,RonTheITGuy,zedd,[],zedd
1807,WangoTango,Niall takes the  stage at 7:15PM PST tonight. We'll be posting live on our Instagram Story (@901Music).…,niall; instagram,nong21914,,['instagram'],niall
1808,,i fucking love this song,,hfkbeth,,[],
1809,"UPDATE, WangoTango",| Miley &amp; @halsey backstage.,miley,chem_is_TRY__,,[],miley
1810,WangoTango,Bless your timeline with Niam,niam,hotbeanlouis,niam,[],niam
1811,,this is so good fuckk,,aIcohalsey,,[],
1812,WangoTango,Niall cantando On The Loose!,"niall cantando, on the loose",bae_hxrry,,[],niall
1813,,OMG PLEASE PERFORM W NIALL PLEASE,niall,cacaehs,,[],niall
1814,WangoTango,📸 | Liam at  tonight.,liam,xElaPayneX,liam,[],liam
1815,"WangoTango, wangotango2017","🔥That moment when @kendra_benz clothes hit the floor!🔥

🆓➡️

 
 
 ",;;;,lovefreecams,,[],
1816,WangoTango,Camila Cabello on the  just now 🤘🏽 | @iHeartRadio,camila cabello,LalYazareth,camila cabello,['camila cabello'],camila cabello
1817,,@LiamPayne + @edsheeran = STRIP THAT DOWN,,kadycat,,[],
1818,WangoTango,"While we wait for the @backstreetboys  performance, check out these backstage photos! ",,WHOTheBckstreet,,[],
1819,"NASCAR, WangoTango",Okay  over now to watch whatever this  is so I can see the @backstreetboys!!!,,sj2429,,[],
1820,"ImStuck, WangoTango",.@noahcyrus performed a brand NEW song titled  at . SO good!  👌,;,noahcyrus,,[],
1821,WangoTango,Camila durante a performance de Bad Things no,camila,lvarezAntonelad,camila,[],camila
1822,"BonAppetit, WangoTango",Katy Perry Performing  at  @katyperry @1027KIISFM 💅🏻,katy perry,slayprismatic,katy perry,['katy perry performing'],katy perry
1823,WangoTango,"Another video of ""Slow Hands"" tonight and the crowd singing along.  ",slow hands,kamryn_307,,[],
1824,WangoTango,Miley backstage at,miley,lipsoflauren,miley backstage,[],miley
1825,WangoTango,"I just noticed that @Zedd is in the  and @LiamPayne is also there ...
Do you have a little surprise, Payne? 👀👀👀👀",; payne;,StrongforShawn_,payne,[],
1826,WangoTango,Miley was seen rehearsing Jolene earlier so we can confirm she will be singing Jolene-,"Miley,jolene, jolene",macaronileoni,"miley,jolene",[],"miley,jolene"
1827,,I'M SO HERE FOR THIS!!!,,lou18harry,,[],
1828,wangotango,RT @CCabelloNews: Camila with @tanyarad on @1027KIISFM's Snapchat story,snapchat,CamilaDailyMX,camila,"['snapchat', 'rt']",camila
1829,,THE INTRO,,inkfreeskin,,[],
1830,,"Wait, y'all stan this? ",,shadesofteddy,,[],
1831,WangoTango,Love you @HaileeSteinfeld!!! Can't wait to see you perform later at,;,Mendes_franta,,[],
1832,WangoTango,This is everything!   &lt;3 &lt;3,;,Rosi_FD,,[],
1833,WangoTango,Gang's all here getting ready to broadcast these artist interviews for you!  in full force,;,captain_smores,,['artist'],
1834,WangoTango,Is BSB's set going to be just as long as M5's?!,"bsb, m5",devonkosa,bsb,[],
1835,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila no backstage do 

  ",camila,5hot5_4ever,,[],camila
1836,WangoTango,Niall no,niall,dobrevbrieen,,[],niall
1837,WangoTango,This girl is flawless,,javierlorenzo75,,[],
1838,WangoTango,Liam!!,liam,xXTwinFlamesXx,liam,[],
1839,WangoTango,@NiallOfficial @1027KIISFM @iHeartRadio you do know I lost my voice there by screaming loud at  but damn it was good,,__princessxella,,[],
1840,WangoTango,"Wowwww adam woww @adamlevine I love youuu por siempreeeee !! 
",,NicolleCure93,,['adam'],
1841,"UFC211, WangoTango","Top 5:
1: 
2: Woodley +9
3: 
4: Kate Bush
5: Leeds Bradford Airport",;;woodley;;kate bush;leeds bradford airport,Trends5UK,"kate bush,leeds bradford airport","['leeds bradford airport', 'kate bush']","kate bush,leeds bradford airport"
1842,"adamlevine, cutetoddler, WangoTango, UFC211","Adam Levine's New Girlfriend ,,, ",adam levine,bernade88851079,adam levine,['adam levine'],
1843,,Queen 👑,,Niall_OneDGT,queen,['queen'],queen ��
1844,WangoTango,"Another throwback to when Zayn did THAT at . The start of an amazing, record-breaking career!
",zayn;,cruelfan1,,[],zayn
1845,WangoTango,Yeezy Yeezy what's good it's ya boi Max b,,SirLoinSerrano,,['max b'],max
1846,WANGOTANGO,LIAM AND NIALL LIAM AND NIALL @LIAMPAYNE @NIALLOFFICIAL NIALL  NIALL LIAM NIALL LIAM NIALL LIAM NIALL LIAM NIALL LIAM NIALL LIAM,"liam, niall",liamschocochips,"liam,liam,liam,liam,liam,liam,liam niall liam","['niall liam', 'liam niall liam niall', 'liam niall liam niall', 'liam niall liam niall', 'liam niall liam niall', 'liam', 'niall  niall liam niall', 'niall liam niall liam', 'niall liam niall liam', 'niall liam niall liam', 'niall liam niall liam', 'niall liam niall liam']","liam,niall liam,niall niall liam niall liam niall liam niall liam niall liam niall liam"
1847,WangoTango,IF LIAM PERFORMS WITH ZEDD,"liam, zedd",devonkosa,if liam,[],"liam,zedd"
1848,WangoTango,The beautiful @noahcyrus 😍can't wait to see you on our  main stage!!,,captain_smores,,[],
1849,WangoTango,Camila no Snapchat da @1027KIISFM,"camila, snapchat",5Hdestinylove,,['snapchat'],camila
1850,WangoTango,"Niall is so fast deleting his tweet. 

 ",niall,eriLS96,,[],niall
1851,"funnypuppy, adorablepuppy, WangoTango, UFC211","Funny Puppy Drinking Milk and Falling in It ,,, ",,gordonh76599702,,[],
1852,,fuck me i love her,,hfkbeth,,[],
1853,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on 's yellow carpet. 

  ",camila,garciacabello2,camila,[],camila
1854,WangoTango,"Live from 102.7 KIIS FM's , watch @halsey perform ""Eyes Closed"" off her sophomore album ""hopeless founta…",,thrillsbailey,fm,"['102.7 kiis fm', '""eyes closed""']",
1855,WangoTango,"Camila on stage at
. 
",camila,SELTONROLLINS,camila,[],camila
1856,"Funnyanimal, funnyowl, WangoTango, UFC211","Lovely Owls ,,, ",,lucasbaker7371,,[],
1857,WangoTango,Niall hoy cantando 'This Town' en,"niall, cantando, this town",addictederick,,[],niall
1858,ALDUBMaineEventDFP30,"Power tweet guys!
 ",,RachelDWhitesi2,,[],
1859,WangoTango,Cute Miley fanpics backstage!,miley,DianaMailen2,miley,[],miley
1860,WangoTango,", Niall  【FR:37.7t/m】",niall,trend_words_en,,[],niall 【fr:37.7tm】
1861,WangoTango,legend only,,ilysmccabello,,[],
1862,,@WorldNotes1D Did Niall have the best performance of the night?,niall,PopPoIls,,[],niall
1863,WangoTango,She's here she's here! Who's ready to see @imjmichaels tonight?!,;,captain_smores,,[],
