ID,HashTags,TweetText,mentions_other,output_mentions
1616,WangoTango,Liam is at !,liam,[['liam']]
1617,"babyowl, littleowl, WangoTango, UFC211","""Oakley"" &amp; The Oaklettes Learn to Move with the Groove! ,,, ","oakley, oaklettes;","[[], []]"
1618,WangoTango,"Check this out! With just $10, you can help keep girls like Asha in school-  Portugal","; asha, portugal","[[], ['portugal']]"
1619,WangoTango,"Another 1 for the Books, shout to Amanda she makes our Team Pop!",amanda,[[]]
1620,WangoTango,About to kick off the @noahcyrus meet &amp; greet! Ahhhh! 😍,;,"[[], []]"
1621,WangoTango,Reunited with @sofiacarson at @1027KIISFM  👯,,[[]]
1622,wangotango,So proud of you @noahcyrus !!!! So stoked to share this night with you!  @1027KIISFM,;;,"[[], [], []]"
1623,,"@NiallOfficial @1027KIISFM @iHeartRadio Niall when can I preorder the album.?? 😍 and book tix for tour.? 😍
I need them so bad 😍😍",niall;;,"[[], [], []]"
1624,,good ass 😂,,[[]]
1625,WangoTango,Liam watching Niall perform at  tonight 13/5/17,"liam, niall",[['liam']]
1626,WangoTango,"It's about time we get to see Alessia and Zedd performing ""STAY"" at  tonight! ","alessia, zedd","[['alessia', 'zedd']]"
1627,"wangotango, dead",I'm watching @niallhorran play at  and @Liampayne is standing directly next to me.,,[[]]
1628,WangoTango,Alessia at  carpet today!,alessia,[['alessia']]
1629,WangoTango,Miley singing 'Jolene' on stage tonight at !,miley,[['jolene']]
1630,WangoTango,Miley performing 'We Can't Stop',"miley, we can't stop",[[]]
1631,"a1array, EverythingEverything",Our backstage social stop was so much fun! Thanks to our friends  and . Hi @Jiffpom!!,;;,"[[], [], []]"
1632,WangoTango,"Hey Violet performant Brand New Moves au , Carson (13/05) | realpatrickjones","violet, carson",[['carson']]
1633,wangotango,@NiallOfficial Performing at  today Really proud Niall,niall,[[]]
1634,,"next to you
malibuuuu ",;,"[[], []]"
1635,WangoTango,Niall tonight at,niall,[[]]
1636,WangoTango,@1027KIISFM  is so awesome and so many talented people at there ♥,,[[]]
1637,WangoTango,Yaaaay Maroon 5 with the Prince cover!!!!  😭😭,prince;,"[['prince'], []]"
1638,WangoTango,.@NiallOfficial hits ! 😍😍,;,"[[], []]"
1639,"WangoTango, WangoTango2017",Holy fucking SHIT 🔥🔥,,[[]]
1640,WangoTango,❤️❤️loved seeing you guys,,[[]]
1641,WangoTango,Miley threw flowers in the crowd💐,miley,[[]]
1642,,What a single. So so proud of our Sunshine!,;,"[[], []]"
1643,WangoTango,Liam at  today! -P,liam;,"[['liam'], []]"
1644,WangoTango,Camila on @ashlee_juno's Instagram story,camila,[['instagram']]
1645,WangoTango,"Hailee Steinfeld cantando ""Love Myself"" no  - 13 de maio.","hailee steinfeld, cantando",[['hailee steinfeld']]
1646,,MY POOR NIAM HEART OMG,,[['niam']]
1647,WangoTango,Our fave @aaroncarter just taught @CassieDiLaura how to Tango at @1027KIISFM !,,[[]]
1648,WangoTango,Finishing up with Prince tribute @maroon5 at,prince,[['prince']]
1649,,@NiallHFrance Best performance?,,[[]]
1650,WangoTango,Camila today at,camila,[[]]
1651,"WangoTango, BackstreetBoys",Up close and personal with the @backstreetboys @1027KIISFM @extratv  …,,[[]]
1652,WangoTango,"Don't forget to Buy ""Malibu"" by @MileyCyrus which was performed tonight at  

Buy:   🌊 ",malibu;;,"[['malibu'], []]"
1653,WangoTango,ADAM LEVINE/MAROON 5 IS SINGING LET'S GO CRAZY BY PRINCE 💜,"adm levine, maroon 5, prince",[['prince']]
1654,WangoTango,NIAM AT THE,niam,[['niam']]
1655,WangoTango,Live on the Yellow Carpet at  with @alexonthemic and the @backstreetboys,,[[]]
1656,WangoTango,Camila no Instagram story da @Chelsea_Briggs,"camila, instagram",[['instagram']]
1657,WangoTango,Give us @brian_littrell with a kid any day!,,[[]]
1658,"StripBackDown, WangoTango",Liam just jumped on stage to talk about his new single ! Out next Friday! | @iHeartRadio,liam;;,"[['liam'], [], []]"
1659,,@camila_cabello @1027KIISFM  Could you sort this post for us camilizer?please say yes! I really wanted to win.…,;;,"[[], []]"
1660,"twins, twinbrother, WangoTango, UFC211","What this toddler did to save his trapped twin brother will shock you! ,,, ",;,"[[], []]"
1661,wangotango,fam photo,,[[]]
1662,WangoTango,Check out all of the @backstreetboys Meet and Greet photos from  here:  Numbers 116-131,,[[]]
1663,WangoTango,Goodness knows what a relationship must be.,,[[]]
1664,WangoTango,"Niall cantando This Town en el !! 
 ","niall cantando, this town",[['this town']]
1665,"OneDirection, WangoTango",.@LiamPayne from  at @1027KIISFM,,[[]]
1666,,"@HaileeSteinfeld I love you, you are the most beautiful woman in the world.💓💗😍😍 ",;,[[]]
1667,"WangoTango, wangotango2017","Who are you most excited to see perform today at ? 

(1 day poll, vote and retweet.)",;;;;;,"[[], []]"
1668,WangoTango,@WK_Stylez @aaroncarter The tweet is gone. 🙄 I just told my friend that Aaron is gonna be at  &amp; I'd tell…,;aaron,"[[], []]"
1669,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on backstage of  

  ",camila,[[]]
1670,WangoTango,More pics of Miley backstage,miley,[[]]
1671,WangoTango,"Otro video de Niall cantando ""Slow Hands"" 😍😍  (via @chxudry)  ","niall cantando, slow hands",[['slow hands']]
1672,"Malibu, WangoTango",.@MileyCyrus performing,,[[]]
1673,WangoTango,"AHHH @aaroncarter sang a ""I Want Candy"" remix at the  Village! ",i want candy,[['village']]
1674,WangoTango,Kick A$$ performance ladies @HaileeSteinfeld @jamiehauptmann,,[[]]
1675,"CamilaCabello, KatyPerry, WangoTango",📸  and  at,,[[]]
1676,WangoTango,So much talent in one photo 👍🏼😁 @alessiacara @Zedd 🙌🏼,,[[]]
1677,WangoTango,Miley performing Malibu for the first time ever at  !,"miley, malibu",[['malibu']]
1678,"WangoTango, M5OnWangoTango",SUGAR YES PLEASE,,[[]]
1679,WANGOTANGO,"LIAM VIENDO A NIALL EN  . -CT♡

","liam viendo, niall;","[[], ['liam']]"
1680,WangoTango,"""You know I had to come bearing gifts!""- Miley so cute!   💐😘🌷🌸 ",; miley;,"[[], [], []]"
1681,,A PERFORMER!!,,[[]]
1682,WangoTango,Niall en el !! 😍😍😍,niall;,"[[], []]"
1683,WangoTango,UPDATE || Liam backstage at,liam,[['liam']]
1684,WangoTango,Miley with her friends &amp; crew backstage at .,miley,[[]]
1685,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO",Camila on @901Music's Instagram story,camila,[['instagram']]
1686,WangoTango,"Bon Appétit at  was everything, I'm in love 😍 ",bon appétit,[[]]
1687,,BUT ADAMS HAIR THO 😍,adams,[[]]
1688,WangoTango,We can't get over @adamlevine's voice!!!! @maroon5 is rocking the  stage!!!,;,"[[], []]"
1689,WangoTango,Beautiful Prince tribute by 😍😲😭 @maroon5,prince,[['prince']]
1690,"SlowHands, WangoTango",onairwithryan: just over here trying to keep our  to ourselves during niallhoran at ,,[[]]
1691,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO",Camila with @CassieDiLaura  (via @sweetyhigh),camila,[[]]
1692,WangoTango,"
My Niam heart 😍❤❤
That friendship goals ! ",niam;,"[['niam'], []]"
1693,WangoTango,Liam watching Niall's performance at,"liam, niall",[['liam']]
1694,WangoTango,Noticing some missing band members at tonight's performance.... @katyperry WHERE ARE JOSH AND ADAM!?!? 😩,"; josh, adam;",[[]]
1695,WangoTango,On The Loose Love It,on the loose,[['on the loose']]
1696,WangoTango,LIAM PAYNE!!!!,liam payne,[['liam payne']]
1697,WangoTango,i would love to go a @maroon5 concert!!,,[[]]
1698,WangoTango,Where you at @harrystyles @Louis_Tomlinson?,,[[]]
1699,"babystingray, funnyanimal, WangoTango, UFC211","Adorable Baby Stingrays Dancing with Smiley Face ,,, ",,[[]]
1700,WangoTango,Camila and @machinegunkelly on stage at .,camila,[[]]
1701,WangoTango,Camila with @TanyaRad on @1027KIISFM's Snapchat story,camila,[['snapchat']]
1702,WangoTango,LIAM WAS JUST ON STAGE IM FREAKING OUT,liam,[['liam']]
1703,WangoTango,If you promise to be gentle I'll let you touch my,,[[]]
1704,WANGOTANGO,@adamlevine is fucken hottttttt,,[[]]
1705,WangoTango,Miley and Noah singing happy birthday to @tishcyrus at  tonight! 🎈,"miley, noah",[[]]
1706,WangoTango,📸 | Liam no  .,liam,[['liam']]
1707,WangoTango,"Maroon 5 the best at  
I love them so much ❤️❤️❤️",Maroon 5;,"[[], []]"
1708,"LOVERS, WangoTango",@NiallOfficial wants to see YOU at ! 🤞🏼Watch the live stream here:  👏🏼,;,"[[], []]"
1709,WangoTango,Niall no Red Carpet do . (7),"niall, red carpet;","[[], []]"
1710,WangoTango,Thanks @maroon5 and @adamlevine !!!!,,[[]]
1711,"WangoTango, BonAppétit",Her dance moves during the Migos part was everything 😍🔥🔥,migos,[[]]
1712,WangoTango,BXIXUUSH LIAM IS THERE WATCHING NIALL MY WIG FLEW I LOVE NIAM,"liam, niam","[['liam', 'niam']]"
1713,,Look who showed up to support his friends and tease his new music coming out NEXT Friday!!! @LiamPayne!!!,;,"[['tease'], []]"
1714,wangotango,Niall hoy cantando ' Slow Hands ' en Wango Tango .,"nial, slow hands, wango tango","[['slow hands', 'wango tango']]"
1715,"WangoTango, Malibu","Miley literally SLAYED the  stage!
She sang  ,Jolene and WCS!

Watch performance :… ","miley; jolene, wcs;;","[[], [], ['jolene']]"
1716,"Malibu, WangoTango",.@MileyCyrus is JUST as excited as we are to watch her perform  🌊 at ! Watch the stream:…,;,"[[], []]"
1717,WangoTango,Camila Cabello just KILLED IT at  tonight with MGK!,"camila cabello, mgk",[['camila cabello']]
1718,WangoTango,"Queen @katyperry SLAAAYED the  stage! Take a peek on our Snapchat / Instagram! 
Username:… ",";snapchat, instagram;","[[], ['snapchat', 'instagram'], []]"
1719,WangoTango,Camila with fans backstage at,camila,[[]]
1720,WangoTango,WHUT? LIAM'OK THE NIGHT IS REALLY INSANE,; liam,"[[], []]"
1721,"a1array, EverythingEverything",Our backstage social stop was so much fun! Thanks to our friends  and . Hi @Jiffpom!!…,;;;,"[[], [], [], []]"
1722,WangoTango,"@maroon5 with the Prince ""Let's Go Crazy"" cover. I knew Adam's purple guitar meant something. Yes.","prince, let's go crazy; adam;","[['prince'], [], []]"
1723,WangoTango,She's the cutest! We love you @HaileeSteinfeld ✨,;,"[[], []]"
1724,,I wish...,,[[]]
1725,"cc1, CC1isHere, WangoTango",@Camila_Cabello CC1 is here!,,[[]]
1726,WangoTango,always with great perfomances @alessiacara @HaileeSteinfeld @Zedd @NiallOfficial @Jordan_Fisher @noahcyrus @Camila_Cabello,,[[]]
1727,WangoTango,.@MileyCyrus was also the most interactive with her fans at ,,[[]]
1728,WangoTango,@maroon5 WE NEED A GUITAR SOLO ON THE NEXT ALBUM,,[[]]
1729,WangoTango,"Update  | Niall performing at 102.7 KIIS FM’s 2017  •May 13th, 2017! /isa",niall;,"[[], []]"
1730,WangoTango,"Selfie from Louis, Liam at , and performances from Harry and Niall. Today has been a great day.… ","louis, liam, harry, niall;","[[], ['liam']]"
1731,WangoTango,"Pretty sure you should tune in to our Snapchat / Instagram right now... 
📱: @capitolrecords 
 ","snapchat, instagram;;","[['snapchat', 'instagram'], []]"
1732,WangoTango,RT @CCabelloNews: Camila with @machinegunkelly (via jimmynickles on Instagram),camila,[['instagram']]
1733,WangoTango,Excuse us.. @NiallOfficial coming through,;,[[]]
1734,"Malibu, Jolene, WeCantStop",Her performance gave me such Wonder World Tour vibes! ☺️Anyone else?    ,wonder world tour;,"[[], []]"
1735,WangoTango,"Niall performando ""On The Loose"" no 
MEU DEUS
(via @chxudry)
 ","niall, on the loose; meu deus;;","[[], [], ['on the loose']]"
1736,"Despacito, wangotango",Thank you @1027kiisfm for the invite. LA you sounded amazing singing  …,; la,"[[], []]"
1737,WangoTango,".@NiallOfficial covering @DUALIPA / @MartinGarrix's ""Scared To Be Lonely""  ",scared to be lonely,[[]]
1738,,i hope so,,[[]]
1739,WangoTango,sisanie: Always happy to be the bread on a Niall sandwich 🍞 see you at  niallhoran!,niall,[[]]
1740,,This. Is. Horrifying.,;;,"[[], [], []]"
1741,,They are both so hot,,[[]]
1742,,".@renalovelis from @HeyViolet got off stage and ran straight to the @OtterPops! Gotta stay cool, right?! … ",;;,"[[], []]"
1743,,. @MileyCyrus told @officialellenk she has something up her sleeve that's going to involve a lot of balloons tonigh…,;,[[]]
1744,WangoTango,We can't wait for @halsey's new album. AHHH!   ,;,"[[], []]"
1745,WangoTango,One more from Niall on the  yellow carpet! We'll go live on Instagram (@901Music) during his performance…,niall;,"[['instagram'], []]"
1746,WangoTango,"FREE 
THE
NIPPLE

@MileyCyrus  ",;;;;,"[[], [], [], []]"
1747,WangoTango,"Niall performando ""Scared To Be Lonely"" (3)","niall, scared to be lonely",[[]]
1748,WangoTango,Niall cantando 'Slow Hands' esta tarde en el ! (2),"niall cantando, slow hands;","[[], ['slow hands']]"
1749,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on @iHeartRadio snapchat.

   ",camila,[['snapchat']]
1750,,ONE DREAM ONE BAND ONE DIRECTION,,[[]]
1751,,I LOVE MY SONS SUPPORTING EACH OTHER,,[[]]
1752,WangoTango,@LiamPayne I love that you went to see Niall at . Supportive brother. 1D forever. :),niall;;;,"[[], [], [], []]"
1753,"cat, cutecat, WangoTango, UFC211","Cat watching a horror movie will be the cutest thing you will see today! ,,, ",cat;,"[[], []]"
1754,WangoTango,"Meet &amp; greet photos of @backstreetboys from .
",,[[]]
1755,,my  1d ship stays winning,,[[]]
1756,,Baby is so cute 💓,,[[]]
1757,,I'm so upset,,[[]]
1758,WangoTango,.@1027KIISFM's post on Instagram,,[['instagram']]
1759,WangoTango,Bout had a heart attack when the said @LiamPayne was here at . 1 more week till we have a full set of singles from the boys!,;,"[[], []]"
1760,"maroon5, Prince, WangoTango"," doing a great cover of  ""Let's Go Crazy"" at  ",let's go crazy,[[]]
1761,WangoTango,Alessia Cara on the  yellow carpet just now 👋🏽 | @iHeartRadio,alessia cara,[['alessia']]
1762,WangoTango,@noahcyrus &amp; @MileyCyrus surprised mommy @tishcyrus with a birthday cake at  tonight! HAPPY BIRTHDAY MT…,;,"[[], []]"
1763,WangoTango,".@MileyCyrus performing ""Malibu"" live for the first time at  is EVERYTHING! @1027KIISFM",malibu;,"[['malibu'], []]"
1764,,Christ. As Dolly Parton dies a little bit more.....,christ; dolly parton,"[[], []]"
1765,WangoTango,📸 | Liam at  tonight -11,liam,[['liam']]
1766,"OnTheLoose, WangoTango",When @NiallOfficial brings out  💃🏻,,[[]]
1767,WANGOTANGO,"OH MY FUCKING GOD LIAM JUST WATCHED NIALL'S PERFORMANCE CAN YOU HEAR ME SCREAM 
 
 ","liam, niall","[['god', 'liam']]"
1768,WangoTango,Alessia backstage at !,alessia,[['alessia']]
1769,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO",Camila on @1027KIISFM's yellow carpet.,camila,[[]]
1770,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on 's red carpet.

  ",camila,[[]]
1771,WangoTango,"When the sound cuts out right at the top of your set and your just like 
""IT AINT MY FAULT"" 😩😂  ",;,"[[], []]"
1772,"WangoTango, WN1D",Liam en el backstage de,liam,[['liam']]
1773,WangoTango,Just a quick pep talk from @katyperry before @noahcyrus hits the  stage 👭❤️,,[[]]
1774,WangoTango,.@HaileeSteinfeld is seriously goals....and killing the outfit game,,[[]]
1775,WangoTango,miley cantando y bailando we can't stop MY 2013 FEELS,"miley, cantando",[[]]
1776,WangoTango,Niall con fans en el ! (3),niall;,"[[], []]"
1777,,HONESTLY SAVED ME,,[[]]
1778,WangoTango,Geli's Instagram. Stella! And adorable lil June 💕,"geli, instagram; stella; june","[['instagram'], [], []]"
1779,WangoTango,"In honour of  being today, here's a throwback to Zayn performing at last year's Wango Tango! ",zayn; wango tango,"[['zayn', 'wango tango']]"
1780,WangoTango,Maroon 5 covering Prince...what else could you want in life??,"maroon 5, prince;",[['prince']]
1781,,NIALL IN A FUCKING HENLEY SINGING SLOW HANDS.. I'VE DIED AND GONE TO HEAVEN (minus that fucking hat),"niall, henley, slow hands;","[['slow hands'], []]"
1782,WangoTango,Miley singing 'We Cant Stop' at .,,[[]]
1783,WangoTango,is trending worldwide.,we cant stop,[[]]
1784,WangoTango,Liam at  tonight.  (via @wydnialll),;,"[['liam'], []]"
1785,wangotango,Camila with @tanyarad on @1027KIISFM's Snapchat story,liam,[['snapchat']]
1786,"SamuraiJack, UFC211, BookOfJohnGray, GB400, WangoTango, MostRequestedLive"," , Joevin Jones ,  ,  , Bryce Harper ,  ,  , ",camila,[[]]
1787,,Yes they were everything except good,"joevin jones, bryce harper",[[]]
1788,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on @ashlee_juno's Instagram story.

   ",camila,[['instagram']]
1789,WangoTango,Camila no yellow Carpet do,camila,[[]]
1790,WangoTango,Our first  Village artist @HeyViolet has hit the stage!!,,[['village']]
1791,WangoTango,i'm so proud of her,,[[]]
1792,"Awesometech, hightech, WangoTango, UFC211","Mercedes F015 Concept Car Drives Itself To CES Las Vegas ,,,","mercedes, las vegas",[[]]
1793,WangoTango,Guess whose set this is😉,,[[]]
1794,,.@EsperanzaGomez @LasMasPutasMex @Culos_Enormes @CamGirlzParty @LindasPutitas @CamGirlz1 @CamGirlErotica…,,[[]]
1795,"PREMIOSMTVMIAW, MTVINSTAGLCABELLO",CamilaNationBr:,,[[]]
1796,WangoTango,Niall performing Slow Hands at  today! -J,"niall, slow hands;","[[], ['slow hands']]"
1797,WangoTango,Justin singing Hold Tight last 2 years ago at,"justin, hold tight",[[]]
1798,"wangotango, upgrade",Please upgrade my little sister and i to the pit so she can see her fave Miley!!!,miley,[[]]
1799,WangoTango,"Yesssss 🙌🏽 @katyperry performing her new single ""Bon Appetit"" at @1027KIISFM",bon appetit,[[]]
1800,,i will die for her tummy RIGHT NOW,,[[]]
1801,,Guess who's in the building! 😍 Get those dancing shoes on because @alessiasmusic and @zedd are coming up!…,;;,"[[], []]"
1802,"Jolene, WangoTango",.@MileyCyrus is BACK and taking us back to her roots with  at,,[[]]
1803,WangoTango,KIIS/Los Angeles Releases The Lineup For The Free Wango Tango ...  ⚡🌟,wango tango,[[]]
1804,WangoTango,"Everybody, rock your body! 😍 @backstreetboys ",;,"[[], []]"
1805,WangoTango,"i miss justin's performance back in 2015 :,(",justin,[[]]
1806,WangoTango,It's a beautiful night at  Zedd is on stage!,zedd,[['zedd']]
1807,WangoTango,Niall takes the  stage at 7:15PM PST tonight. We'll be posting live on our Instagram Story (@901Music).…,niall; instagram,"[['instagram'], []]"
1808,,i fucking love this song,,[[]]
1809,"UPDATE, WangoTango",| Miley &amp; @halsey backstage.,miley,[[]]
1810,WangoTango,Bless your timeline with Niam,niam,[['niam']]
1811,,this is so good fuckk,,[[]]
1812,WangoTango,Niall cantando On The Loose!,"niall cantando, on the loose",[['on the loose']]
1813,,OMG PLEASE PERFORM W NIALL PLEASE,niall,[[]]
1814,WangoTango,📸 | Liam at  tonight.,liam,[['liam']]
1815,"WangoTango, wangotango2017","🔥That moment when @kendra_benz clothes hit the floor!🔥

🆓➡️

 
 
 ",;;;,"[[], []]"
1816,WangoTango,Camila Cabello on the  just now 🤘🏽 | @iHeartRadio,camila cabello,[['camila cabello']]
1817,,@LiamPayne + @edsheeran = STRIP THAT DOWN,,[[]]
1818,WangoTango,"While we wait for the @backstreetboys  performance, check out these backstage photos! ",,[[]]
1819,"NASCAR, WangoTango",Okay  over now to watch whatever this  is so I can see the @backstreetboys!!!,,[[]]
1820,"ImStuck, WangoTango",.@noahcyrus performed a brand NEW song titled  at . SO good!  👌,;,"[[], []]"
1821,WangoTango,Camila durante a performance de Bad Things no,camila,[['bad things']]
1822,"BonAppetit, WangoTango",Katy Perry Performing  at  @katyperry @1027KIISFM 💅🏻,katy perry,[[]]
1823,WangoTango,"Another video of ""Slow Hands"" tonight and the crowd singing along.  ",slow hands,[['slow hands']]
1824,WangoTango,Miley backstage at,miley,[[]]
1825,WangoTango,"I just noticed that @Zedd is in the  and @LiamPayne is also there ...
Do you have a little surprise, Payne? 👀👀👀👀",; payne;,"[[], [], []]"
1826,WangoTango,Miley was seen rehearsing Jolene earlier so we can confirm she will be singing Jolene-,"Miley,jolene, jolene","[['jolene', 'jolene']]"
1827,,I'M SO HERE FOR THIS!!!,,[[]]
1828,wangotango,RT @CCabelloNews: Camila with @tanyarad on @1027KIISFM's Snapchat story,snapchat,[['snapchat']]
1829,,THE INTRO,,[[]]
1830,,"Wait, y'all stan this? ",,[[]]
1831,WangoTango,Love you @HaileeSteinfeld!!! Can't wait to see you perform later at,;,"[[], []]"
1832,WangoTango,This is everything!   &lt;3 &lt;3,;,"[[], []]"
1833,WangoTango,Gang's all here getting ready to broadcast these artist interviews for you!  in full force,;,"[[], []]"
1834,WangoTango,Is BSB's set going to be just as long as M5's?!,"bsb, m5",[[]]
1835,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila no backstage do 

  ",camila,[[]]
1836,WangoTango,Niall no,niall,[[]]
1837,WangoTango,This girl is flawless,,[[]]
1838,WangoTango,Liam!!,liam,[['liam']]
1839,WangoTango,@NiallOfficial @1027KIISFM @iHeartRadio you do know I lost my voice there by screaming loud at  but damn it was good,,[[]]
1840,WangoTango,"Wowwww adam woww @adamlevine I love youuu por siempreeeee !! 
",,[[]]
1841,"UFC211, WangoTango","Top 5:
1: 
2: Woodley +9
3: 
4: Kate Bush
5: Leeds Bradford Airport",;;woodley;;kate bush;leeds bradford airport,"[[], [], [], ['bush'], ['bradford'], []]"
1842,"adamlevine, cutetoddler, WangoTango, UFC211","Adam Levine's New Girlfriend ,,, ",adam levine,[[]]
1843,,Queen 👑,,[[]]
1844,WangoTango,"Another throwback to when Zayn did THAT at . The start of an amazing, record-breaking career!
",zayn;,"[['zayn'], []]"
1845,WangoTango,Yeezy Yeezy what's good it's ya boi Max b,,[[]]
1846,WANGOTANGO,LIAM AND NIALL LIAM AND NIALL @LIAMPAYNE @NIALLOFFICIAL NIALL  NIALL LIAM NIALL LIAM NIALL LIAM NIALL LIAM NIALL LIAM NIALL LIAM,"liam, niall","[['liam', 'liam', 'liam', 'liam', 'liam', 'liam', 'liam', 'liam']]"
1847,WangoTango,IF LIAM PERFORMS WITH ZEDD,"liam, zedd","[['liam', 'zedd']]"
1848,WangoTango,The beautiful @noahcyrus 😍can't wait to see you on our  main stage!!,,[[]]
1849,WangoTango,Camila no Snapchat da @1027KIISFM,"camila, snapchat",[['snapchat']]
1850,WangoTango,"Niall is so fast deleting his tweet. 

 ",niall,[[]]
1851,"funnypuppy, adorablepuppy, WangoTango, UFC211","Funny Puppy Drinking Milk and Falling in It ,,, ",,[[]]
1852,,fuck me i love her,,[[]]
1853,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila on 's yellow carpet. 

  ",camila,[[]]
1854,WangoTango,"Live from 102.7 KIIS FM's , watch @halsey perform ""Eyes Closed"" off her sophomore album ""hopeless founta…",,[[]]
1855,WangoTango,"Camila on stage at
. 
",camila,[[]]
1856,"Funnyanimal, funnyowl, WangoTango, UFC211","Lovely Owls ,,, ",,[[]]
1857,WangoTango,Niall hoy cantando 'This Town' en,"niall, cantando, this town",[['this town']]
1858,ALDUBMaineEventDFP30,"Power tweet guys!
 ",,[[]]
1859,WangoTango,Cute Miley fanpics backstage!,miley,[[]]
1860,WangoTango,", Niall  【FR:37.7t/m】",niall,[[]]
1861,WangoTango,legend only,,[[]]
1862,,@WorldNotes1D Did Niall have the best performance of the night?,niall,[[]]
1863,WangoTango,She's here she's here! Who's ready to see @imjmichaels tonight?!,;,"[[], []]"
1864,,LOOK AT HER ☹️,,[[]]
1865,"raccoon, raccoonwashing, WangoTango, UFC211","Crazy Raccoon Gosha Loves Washing Everything ,,, ",raccoon gosha,[[]]
1866,,@TeamMileyyLA Best performance?,,[[]]
1867,WangoTango,New music from @NiallOfficial 🙌🏼🙌🏼🙌🏼,,[[]]
1868,,WHAAAAAAATTTTTTT,,[[]]
1869,"WangoTango, StayTogether",Loving @noahcyrus at  with her new single,,[[]]
1870,"maroon5, WangoTango",on stage now,,[[]]
1871,WangoTango,".@NiallOfficial @LiamPayne Niall no backstage do , em San Diego. (13/05)",";niall, san diego;","[[], []]"
1872,wangotango,"What can I say, it's complicated  @Camila_Cabello @machinegunkelly   ",,[[]]
1873,WangoTango,BABY YOU'RE A FIREWORK 🎇🎇🎇 @katyperry  Watch live:,,[[]]
1874,,this ain't right he's supposed to be up there with him,,[[]]
1875,WangoTango,Camila on the  yellow carpet.,camila,[[]]
1876,,Katy baby no what is you doing???!! 😷 my ears,katy;,"[[], []]"
1877,WangoTango,.@aaroncarter is back 🙌🏼🙌🏼🙌🏼,;,[[]]
1878,WangoTango,Look whose dressing rooms we found 🤗,,[[]]
1879,WangoTango,Camila blowing kisses on the  yellow carpet 😘 | @iHeartRadio,camila,[[]]
1880,WangoTango,"@SofiaCarson via @favecelebz instagram stories at   How can one person be so perfect? She is stunning.  Love her  
@1027KIISFM",;;;,"[['instagram'], [], [], []]"
1881,WangoTango,Hailee Steinfeld performs onstage during 102.7 KIIS FM's 2017  on May 13 in California.,"hailee steinfeld, california, may 13",[['hailee steinfeld']]
1882,WangoTango,.@sofiacarson looking gorgeous at  today! ❤️,;;,"[[], []]"
1883,WangoTango,Niall en el  😍😍,niall,[[]]
1884,WangoTango,Hailee Steinfeld and Machine Gun Kelly perform onstage during 102.7 KIIS FM's 2017  on May 13 in Califor…,"hailee steinfeld, machine gun kelly, may 13",[['hailee steinfeld']]
1885,WangoTango,. @aaroncarter is up next at our  Village.,;,[['village']]
1886,WANGOTANGO,LIAM EN  . -CT♡,liam;,"[['liam'], []]"
1887,WangoTango,AWWW! @MileyCyrus &amp; @noahcyrus surprised their mom with a birthday cake at !  ,;,"[[], []]"
1888,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO","Camila's M&amp;G on  

  ",camila,[[]]
1889,"WangoTango, PREMIOSMTVMIAW","Today is  She's going to make another incredible performance! Go @Camila_Cabello FLACA 
",;,"[[], []]"
1890,WangoTango,"Niall performing at 102.7 KIIS FM’s 2017  •May 13th, 2017! /isa

©  courtneyjbarry",niall;;;,"[[], [], []]"
1891,wangotango,"Sparkle Queens!  @musickillskate @stassi 
・・・
Hanging out with our wang out.  ",;;;;,"[[], [], [], []]"
1892,WangoTango,"Brb, @LiamPayne is at !!! 
 ",,[[]]
1893,"WangoTango, SlowHands, proud",.@NiallOfficial had all of  swooning over  &amp; more! ,,[[]]
1894,WangoTango,I LOVE MAROON 5,maroon 5,[[]]
1895,WangoTango,"Hailee Steinfeld no Instagram Story da @Sisanie.
 ","hailee steinfeld, instagram","[['hailee steinfeld', 'instagram']]"
1896,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO",2015 Outfit iconico,,[[]]
1897,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO",Camila tonight via @901Music.,camila,[[]]
1898,WangoTango,My poor Niam heart ,niam,[['niam']]
1899,WangoTango,excited for  tonight!!! see all of your beautiful faces there,;,"[[], []]"
1900,WangoTango,Niall cantando 'On the Loose' esta tarde en el !,"niall cantando, on the loose",[['on the loose']]
1901,WangoTango,.@HaileeSteinfeld looked SO gorgeous up on our  stage! ,,[[]]
1902,"WangoTango, M5OnWangoTango",I WANT THAT RED VELVET I WANT THAT SUGAR SWEET,,[[]]
1903,WangoTango,SURPRISE. Liam Payne just showed up on the  yellow carpet 🔥 | @iHeartRadio,; liam payne,"[[], ['liam payne']]"
