ID,HashTags,TweetText,annotation_limited types,ritter_candidates,calai_candidates,stanford_candidates,User
1824,,Sunday ? Sundae . | Sweet Tooth #FritzDLamons https://t.co/zkBfmQpFdu,#FritzDLamons,,['gop'],"house,gop",88weighted
1825,,"RT @crosscourt1 : bit of a lapse from federer and nishikori picked things up , its now 44 2nd set after federer led 41","federer,nishikori,federer",,['gop'],"house,gop",88weighted
1826,,"I saw Flesh for Lulu with Gene Loves Jezebel , with my MOM on Feb 3 , 1988 . She called them Fleshpot . RIP Nick Marsh","Flesh for Lulu,Gene Loves Jezebel,Nick Marsh",,['gop'],"house,gop",88weighted
1827,,“@6abc : Cameras capture shooting in broad daylight in North . Philadelphia pic.twitter.com/rgd2ZKv5LC”look like a ladder,North . Philadelphia,,['gop'],"house,gop",88weighted
1828,,RT @SiRyanRems : MONDAY NA NAMAN BUKAS . SARAP MANAPAK,,,['gop'],"house,gop",88weighted
1829,,"20th #1 Song , GRAMMY Nods Mark Memorable Week for Songwriter Luke Laird : A comprehensive look at one of countr ... https://t.co/3xA3yOS1bc","GRAMMY,Luke Laird",,['gop'],"house,gop",88weighted
1830,,@tunecore Trying to access account since the security breach - but unable to reset password since acct associated with old email . Help ?,,,['gop'],"house,gop",88weighted
1831,,"ca June 08 , 2015 at 12:42 AM",,,['gop'],"house,gop",88weighted
1832,,San Bernardino Shooting Leaves as Many as 20 Reported Victims,San Bernardino,,['gop'],"house,gop",88weighted
1833,,RT @Senyora : Tulog na . Mas malaki ang chance na may magmahal sa'yo sa panaginip,,,['gop'],"house,gop",88weighted
1834,,RT @girlideas : Getting ready for school tomorrow like https://t.co/crVDm4SDZO,,,['gop'],"house,gop",88weighted
1835,,Daftar gibs ... https://t.co/XA4vhqOGAP,,,['gop'],"house,gop",88weighted
1836,,RT @JgJmg1997 : Not feeling school tomorrow .,,,['gop'],"house,gop",88weighted
1837,,Apple Ipod A1238 160GB 6th Gen with good battery - Full read by eBay,"Apple Ipod A1238 160GB 6th Gen,eBay",,['gop'],"house,gop",88weighted
1838,,@Catlovesugly *friday,,,['gop'],"house,gop",88weighted
1839,,RT @WeAreGirICodes : YOU CAN'T JUST CANCEL PLANS WITH ME AFTER I'VE SHAVED I WILL NOT BE THIS SOFT TOMORROW,,,['gop'],"house,gop",88weighted
1840,,"tos June 21 , 2015 at 08:10 AM",,,['gop'],"house,gop",88weighted
1841,,"July 18 , 2015 at 03:08 PM",,,['gop'],"house,gop",88weighted
1842,,@MariamCouly Regarde mon Rt,,,['gop'],"house,gop",88weighted
1843,,"Geoc . Dist . of the #Sun as of Wednesday , 10.06 . 2015 , 22h05m 00.99 s UT is 1.0152799119 AU #astrology #astronomy",,,['gop'],"house,gop",88weighted
1844,,"HAPPINESS IS KEY are back , team number 18 . They have plans for a parachute jump in June and also the Family ...",HAPPINESS IS KEY,,['gop'],"house,gop",88weighted
1845,,Ramadan Day 12 complete mAy Allah give us d strength for d next ... n,"Ramadan,Allah",,['gop'],"house,gop",88weighted
1846,,RT @HotFreestyle : Meek Mill response coming Monday :,Meek Mill,,['gop'],"house,gop",88weighted
1847,,Man Boxes is launching June 14th ! I'm tweeting to increase my chances of winning a giveaway .,Man Boxes,,['gop'],"house,gop",88weighted
1848,,@shihuiwhat thanks today 2nd day,,,['gop'],"house,gop",88weighted
1849,,"Null# Selasa , 08 September 2015 Jam 08:34",,,['gop'],"house,gop",88weighted
1850,,Join us at Dale 's Weston Lanes tonight from 5 to 6:45 pm for Monday Night Endzone on Sports Fan 100.5 ! Football talk leading to MNF !,"Dale 's Weston Lanes,Monday Night Endzone,Sports Fan 100.5,MNF",,['gop'],"house,gop",88weighted
1851,,#Jury selected for couple charged with having #sex on Bradenton #Beach - Apr 30 @ 2:18 AM ET,Bradenton #Beach,,['gop'],"house,gop",88weighted
1852,,RT @TrainerHeaven : COMPETITION TIME ! RT &amp; FOLLOW us to win these Red Nike Airmax Yeezys ! Winner Anounced 25th May .,Red Nike Airmax Yeezys,,['gop'],"house,gop",88weighted
1853,,@In1esta 1st time that 's happened in the league in 10 years .,,,['gop'],"house,gop",88weighted
1854,,"Dah september 2015 , Ada lagi manusia yang berebut ikan keli . Aih , Manusia .",,,['gop'],"house,gop",88weighted
1855,,I #VoteTrisMTV for Best Hero ! Watch the MTV on April 12 starting at 7:30 ET to see who wins ! 89,MTV,,['gop'],"house,gop",88weighted
1856,,"7 MINT ISSUES CHICAGO WGN BOZO THE CLOWN ON TV GUIDE COVER JULY 7 - 10 , 2001",CHICAGO WGN BOZO THE CLOWN ON TV GUIDE COVER,,['gop'],"house,gop",88weighted
1857,,MAHIRAP TALAGA UMASA sa TAONG MAY IBANG GUSTO !!!,,,['gop'],"house,gop",88weighted
1858,,"null March 21 , 2015 at 10:33 AM",,,['gop'],"house,gop",88weighted
1859,,RT @uncledomdetore : Don't forget tomorrow season premier of @TheProfitCNBC with @marcuslemonis @CNBC,,,['gop'],"house,gop",88weighted
1860,,@JAEHYNHA jan kangen,,,['gop'],"house,gop",88weighted
1861,,RT @NarrySource : Harry trying to get Niall 's attention . ( June 23 - Sweden ),"Harry,Niall,Sweden",,['gop'],"house,gop",88weighted
1862,,"kathcakeees26 : knsolidified1 : bolido123 : immadam_angelo : pca_moh4 : Another hour ! It 's December 10 , 2015 at 09:01 AM #PushAwardsKathNiels",,,['gop'],"house,gop",88weighted
1863,,@Kas_Tx https://t.co/n0hWiU8vao please read and retweet . Thanks,,,['gop'],"house,gop",88weighted
1864,,"RUMOR : Samsung Unpacked on Feb . 21st , 2016 in Barcelona https://t.co/yYOEscbCoq","Samsung Unpacked,Barcelona",,['gop'],"house,gop",88weighted
1865,,@jassminnortizz shut up bitch you left me Thursday and Friday,,,['gop'],"house,gop",88weighted
1866,,This Is How You Look Forward To Monday : #brand #entreprenuer #selfhelp #passion #inspiration #believe,,,['gop'],"house,gop",88weighted
1867,,siang @noeey_Chibi ;) happy sunday,,,['gop'],"house,gop",88weighted
1868,,@SkibbittyBop welcome to the big boys club 1st squader #lilnigga,,,['gop'],"house,gop",88weighted
1869,,"BREAKING : Shooting reported at Portland high school , at least 2 victims ; police searching for suspect or suspects - @KGWNews”",Portland,,['gop'],"house,gop",88weighted
1870,,RT @1DAsiaCrew : The boys have 6 days off before performing at the Apple Music Festival in London on 22 September 2015 !,"Apple Music Festival,London",,['gop'],"house,gop",88weighted
1871,,4m TalkTalk customers’ details may have been stolen in latest breach pic.twitter.com/ge7SS1brsV,TalkTalk,,['gop'],"house,gop",88weighted
1872,,"It is now 03:56 AM on Monday , April 20 , 2015 ( US/Eastern) .",,,['gop'],"house,gop",88weighted
1873,,RT @OnceABC : Can Hook trust Emma ? Here 's a peek at Sunday 's all-new #OnceUponATime . https://t.co/7hUIld675j,"Hook,Emma,#OnceUponATime",,['gop'],"house,gop",88weighted
1874,,RT @GaryLineker : It 's Saturday . That Saturday . A Saturday with MOTD at the end of it . Oi Oi !,,,['gop'],"house,gop",88weighted
1875,,"@applehq oh ? What did you do for my half birthday , *tomorrow* !",,,['gop'],"house,gop",88weighted
1876,,You may need to confront an uncomfortable situation at work to ... More for Capricorn,Capricorn,,['gop'],"house,gop",88weighted
1877,,"Apple iPad mini 1st Generation 16GB , Wi-Fi , 7.9 in - White &amp; Silver - Bid Now ! Only $ 105.5 https://t.co/C2RQfAYiDb https://t.co/1eW2EVXYkW",Apple iPad mini 1st Generation 16GB,,['gop'],"house,gop",88weighted
1878,,"@blakeleblanc_ She was sat with Hyo-Yeon and Taeyeon and i was like ' is that her ' then she just looks at me and goes "" Hi James "" i'm like :O","Hyo-Yeon,Taeyeon,James",,['gop'],"house,gop",88weighted
1879,,Why am I cold in June haha ? Haha,,,['gop'],"house,gop",88weighted
1880,,RT @CityWoodburyNJ : Life Skills Classes - October 2015 https://t.co/3C8f7pMmmO https://t.co/3C8f7pMmmO,,,['gop'],"house,gop",88weighted
1881,,Me And Jackie Bands was talking bout shooting a Muzic Video today who down we gone put the whole milwaukee on da map !!!!!,"Jackie Bands,milwaukee",,['gop'],"house,gop",88weighted
1882,,"RT @coastalliving : Your Tax Day Moment of Zen : Torrey Pines State Reserve , Del Mar , California .","Torrey Pines State Reserve,Del Mar,California",,['gop'],"house,gop",88weighted
1883,,RT @bestnialIpicss : November 4th 2013 https://t.co/N1DCsod9eT,,,['gop'],"house,gop",88weighted
1884,,"Conversations at work may not go as expected today , but they e ... More for Cancer",Cancer,,['gop'],"house,gop",88weighted
1885,,"I recommend that all of you take a few minutes and watch and share , it may save you , or someone you know life !",,,['gop'],"house,gop",88weighted
1886,,RT @5SOS : Monday https://t.co/ati1lmtyp5,,,['gop'],"house,gop",88weighted
1887,,Layo ah ? Haha . Naks ! Ikaw na may forever . Hahahah @denvermoral,,,['gop'],"house,gop",88weighted
1888,,Lamentable #ChattanoogaShooting en #usa y #elsalvador tienen q entender q los cobardes siempre atacan por la espaldapic.twitter.com/FwYsDhCacm,"#usa,#elsalvador",,['gop'],"house,gop",88weighted
1889,,Oo naman https://t.co/xFtRJREmxU,,,['gop'],"house,gop",88weighted
1890,,Ještě jedna aktuální americká přestřelka . Tentokrát byli zraněni 3 policisté v Sacramentu . …,Sacramentu,,['gop'],"house,gop",88weighted
1891,,RT @fartshire : zayn will be back on tour in two days the sun is coming out the world is starting to turn and im finally remembering my name,zayn,,['gop'],"house,gop",88weighted
1892,,"Come on citizens of America , we all need to be sick of this shit , seriously . There ARE things we can do ... #Marysville shooting","America,#Marysville",,['gop'],"house,gop",88weighted
1893,,Happy sunday !!,,,['gop'],"house,gop",88weighted
1894,,Been real busy the last few weeks . Had a great time all round now back to work tomorrow after a long half term .,,,['gop'],"house,gop",88weighted
1895,,May Paalam alam ka pang Forever :P Walang F_O_R_E_V_E_R,,,['gop'],"house,gop",88weighted
1896,,My birthday is in 2 days on Tuesday November 3rd just in case anyone would like to know .,,,['gop'],"house,gop",88weighted
1897,,Britain says bookseller abduction would be ' breach ' in China 's rule of Hong Kong,"Britain,China,Hong Kong",,['gop'],"house,gop",88weighted
1898,,@TheEllenShow ITS GONNA BE MAY Waitin for tax season to be over ( If ur an accountant or banker U kno ) @LanceBass ... https://t.co/XSocM3gQuz,,,['gop'],"house,gop",88weighted
1899,,RT @WalkingDead_AMC : Sounds like you're ready for the #TWDMarathon this Sunday .,,,['gop'],"house,gop",88weighted
1900,,@GolfGodMatty I'm scared at the 3rd picture,,,['gop'],"house,gop",88weighted
1901,,"@AnthonyCumia down here in New Orleans , we celebrate by shooting five people on MLK day on MLK street after the MLK day parade .","New Orleans,MLK day,MLK street,MLK day",,['gop'],"house,gop",88weighted
1902,,RT @ThatBucketList : today : stressed tomorrow : stressed next week : stressed next month : stressed next year : stressed next life : stressed,,,['gop'],"house,gop",88weighted
1903,,Wordlesss Wednesday Italian Cream Cake,,,['gop'],"house,gop",88weighted
1904,,RT @kirbydickens : SEO Enigma Reloaded is being relaunched on April 27 . Find out more here : https://t.co/CvyfXlTkG9,SEO Enigma Reloaded,,['gop'],"house,gop",88weighted
1905,,Baby You Can Spark Mad Izm ! MAD IZM 20th Anniversary @DNANIGHTS 3/27/15 THIS IS GOING TO BE A REAL,"Mad Izm,MAD IZM",,['gop'],"house,gop",88weighted
1906,,RT @SocialOctave : Desktop Wallpaper Calendars : May 2015 #UX #webdesign #graphics,,,['gop'],"house,gop",88weighted
1907,,RT @TheFunnyVine : When you realise you have school tomorrow,,,['gop'],"house,gop",88weighted
1908,,"BREAKING : Man , 20 , from Staffordshire arrested over TalkTalk hack - the third person held over the security breach","Staffordshire,TalkTalk",,['gop'],"house,gop",88weighted
1909,,"El Nikkei sube un 1 , 30 por ciento hasta los 19.631 , 34 puntos May 10 , 2015 at 08:12 PM",,,['gop'],"house,gop",88weighted
1910,,Wednesday 's Sports In Brief,,,['gop'],"house,gop",88weighted
1911,,FTM Wed Bike Night W/Joe Rock &amp; Allstars #constantcontact,"FTM,Wed Bike Night,W/Joe Rock &amp; Allstars",,['gop'],"house,gop",88weighted
1912,,RT @batterycitys : this is the hottest December I've ever had https://t.co/S7rDjjuYlY,,,['gop'],"house,gop",88weighted
1913,," One person has died after a shooting at Santa Monica College in California , police say . Watch CNN TV live coverage . -- CNN","Santa Monica College,California,CNN TV",,['gop'],"house,gop",88weighted
1914,,"really like this new one from @duranduran - wetting my appetite for "" PaperGods "" album Sept 11 https://t.co/aj5cDuzZv2",PaperGods,,['gop'],"house,gop",88weighted
1915,,"RT @lexijett1 : spirit lead me where my trust is without borders , let me walk upon the waters , wherever you may call me .",,,['gop'],"house,gop",88weighted
1916,,"RT @Sahfeeyah_GCFR : For Kaduna , Nasir El-Rufai SAK . April 11th , 2015 .","Kaduna,Nasir El-Rufai",,['gop'],"house,gop",88weighted
1917,,RT @JarreDaily : Hope anyone of you wins the Pepsi Challenge ( Rock in Rio ! ) . The winner will be announced tomorrow .,the Pepsi Challenge,,['gop'],"house,gop",88weighted
1918,,Friends and family may be the current source of drama that beg ... More for Sagittarius,Sagittarius,,['gop'],"house,gop",88weighted
1919,,Los Angeles airport shooting : suspect charged with murder as he fights for life : US attorney says federal pros ...,Los Angeles,,['gop'],"house,gop",88weighted
1920,,Check out the November news for the Brentwood Library ... https://t.co/q39ukxNNGP,the Brentwood Library,,['gop'],"house,gop",88weighted
1921,,"“@BAESIC80s : "" @cocainee69 : So in Detroit we shooting the new batman movie .. Niggas done stole the BatMobile !"" LMFAOOOOO WAIT” MY CITY SAVAGE","Detroit,BatMobile",,['gop'],"house,gop",88weighted
1922,,New Philadelphia Quakers at Louisville Leopards Boys Tournament Basketball Video Highlights &amp; Recap :,"New Philadelphia Quakers,Louisville Leopards Boys Tournament",,['gop'],"house,gop",88weighted
1923,,I think I deserve a Half day tomorrow,,,['gop'],"house,gop",88weighted
1924,,Palestinian dies of wounds from West Bank clashes : ministry : A Palestinian wounded in early December during cl ... https://t.co/W39hL62UI5,"Palestinian,West Bank,Palestinian",,['gop'],"house,gop",88weighted
1925,,Jogging tomorrow,,,['gop'],"house,gop",88weighted
1926,,A scary Cubs team just became terrifying : Saturday 's Say Hey includes the Cubs getting even better with anothe ... https://t.co/4v9B4xV645,"Cubs,Cubs",,['gop'],"house,gop",88weighted
1927,,"Sadly , no one 's listening . Or are you , @BJP4India ? https://t.co/Fc0An1Y7zQ",,,['gop'],"house,gop",88weighted
1928,,"RT @ryan_agonciLLo : May pasalubong si Tisoy @aldenrichards02 sayo meng @mainedcm !! #ALDUBWayBackHome """,,,['gop'],"house,gop",88weighted
1929,,@MrsImpara do we have to have an hour of membean done by tonight or tomorrow ??,,,['gop'],"house,gop",88weighted
1930,,Give gifts that give back . We're open this week Monday-Wednesday 10:00 - 5:30 and Thursday till 2:00 #fairtrade https://t.co/MGxXvCi0T1,,,['gop'],"house,gop",88weighted
1931,,Look out for me on VATSpy as Conn Taggart so you may get a guess on what the next pics will be ! ( 2/2 ),"VATSpy,Conn Taggart",,['gop'],"house,gop",88weighted
1932,,"@MossieurCochet @CloudyDreamerZ Okay , pourquoi pas ! J'en parle a mon amie !",,,['gop'],"house,gop",88weighted
1933,,"feel like shit , going to bed by 10 , and I have finals every day from Mon-Wed ......",,,['gop'],"house,gop",88weighted
1934,,"RT @MiriamSaying : May mga patama talagang di naman para sayo , sadyang assumera ka lang kaya inaangkin mo .",,,['gop'],"house,gop",88weighted
1935,,"ca October 18 , 2015 at 04:59 PM",,,['gop'],"house,gop",88weighted
1936,,RT @CebuNuna : The 2nd time prerecording of radio in MCD is set to go .,MCD,,['gop'],"house,gop",88weighted
1937,,@TheRealTBOZ Don't Miss @ThaRealMommaDee Aug 17th @ #GME #Atl #WeddingParty RSVP w/@alcarrogrier Official #MediaSponsor @TheHypeMagazine,,,['gop'],"house,gop",88weighted
1938,,Ik vind een @YouTube-video van @carcrashcomp leuk : Car Crash Compilation # 497 - March 2015,,,['gop'],"house,gop",88weighted
1939,,RT @philconcerts : Happy 4th anniversary @PTXofficial . Limited tickets left at @TicketNetPH or call 911 5555,,,['gop'],"house,gop",88weighted
1940,,"x1x_ne_x1x August 11 , 2015 at 02:02 AM 4",,,['gop'],"house,gop",88weighted
1941,,Ahok Buka Pendaftaran KJP pada 24 Agustus-25 September di Sekolah : Tidak semua siswa kurang mampu di Ibu Kota ...,,,['gop'],"house,gop",88weighted
1942,,#samsungsocialtvdms socialtv30 seq : 2021 at : 13 Nov 2015 16:52 : 59 GMT,,,['gop'],"house,gop",88weighted
1943,,#TalkTalk ' s third major security breach in the past year and data poss not encrypted ... good luck with that defence https://twitter.com/bainesy1969/status/657816032145444864 …,#TalkTalk,,['gop'],"house,gop",88weighted
1944,,#ChattanoogaShooting Heart breaking new details . https://twitter.com/ap/status/621754537280454657 …,,,['gop'],"house,gop",88weighted
1945,,"WJZ BREAKING : 1 Killed , 3 Injured In Baltimore Shooting ; 2 Of Those Injured ... - CBS Local","WJZ,Baltimore,CBS Local",,['gop'],"house,gop",88weighted
1946,,"Shooting at Fort Hood Military Base , as Many as Eight Wounded - NBC News","Fort Hood Military Base,NBC News",,['gop'],"house,gop",88weighted
1947,,@Volcom SANTA MONICA COLLEGE SHOOTING/INFO FOR CALI BOYS BLOWS 3 WOUNDED BAG OF GUNS FOUND 2 SHOOTERS OBAMAA NOT FAR,"SANTA MONICA COLLEGE,CALI,OBAMAA",,['gop'],"house,gop",88weighted
1948,,"RT @MatthewMcC176 : friends over in brum on a Wednesday , can only mean @snobsnightclub",,,['gop'],"house,gop",88weighted
1949,,RT @BobOngQuotes : Minsan naiinlove tayo sa taong may mahal ng iba .,,,['gop'],"house,gop",88weighted
1950,,"RT @JustFRlENDS : Learn from yesterday , live for today , hope for tomorrow .",,,['gop'],"house,gop",88weighted
1951,,15-year-old arrested in Scotland for allegedly attempting to breach FBI system . Possible #CWA member . https://twitter.com/IncursioSubter/status/700354752203399168 …,"Scotland,FBI,#CWA",,['gop'],"house,gop",88weighted
1952,,"March 24 , 2015 at 12:10 AM posttt4 . [[",,,['gop'],"house,gop",88weighted
1953,,Hahaha wala mare may tweet lng n nkaka hb hahaha https://t.co/dMUWIfFeIF,,,['gop'],"house,gop",88weighted
1954,,RT @reddimples45 : The picture of escaped convicts Richard Matt &amp; David Sweat on their 13th day looked like old Geezers on the run .,"Richard Matt,David Sweat",,['gop'],"house,gop",88weighted
1955,,RT @1DAsiaCrew : Niall leaving Nobu Restaurant in Malibu ( July 13th ) #13-16,"Niall,Nobu Restaurant,Malibu",,['gop'],"house,gop",88weighted
1956,,I seriously can't believe I'm actually going to see Justin in May,Justin,,['gop'],"house,gop",88weighted
1957,,#jerseyshore #jersey Shooting spree near Santa Monica College,"#jerseyshore,#jersey,Santa Monica College",,['gop'],"house,gop",88weighted
1958,,"So sad “@ABC7 : #BREAKINGNEWS Shooting broke out at Mother 's Day parade in New Orleans ; at least 12 shot in city 's 7th Ward , reports AP”","Mother 's Day,New Orleans",,['gop'],"house,gop",88weighted
1959,,How will Nelly lead the fam to success on stage ? Find out Tuesday on #Nellyville at 9P/8C !,"Nelly,#Nellyville",,['gop'],"house,gop",88weighted
1960,,"Japan June current account in surplus , marks biggest first half gain since 2010 - Reuters","Japan,Reuters",,['gop'],"house,gop",88weighted
1961,,"[#NewarkWeather] , #Newark weather April 20 , 21 , 22 , 23 , 24 , 25 2015",#Newark,,['gop'],"house,gop",88weighted
1962,,Federal lawsuit filed over police shooting #chicago,,,['gop'],"house,gop",88weighted
1963,,Alabama happened https://t.co/FmHRaD7USF,Alabama,,['gop'],"house,gop",88weighted
1964,,Your growing excitement over an innovative idea may cause you ... More for Virgo,Virgo,,['gop'],"house,gop",88weighted
1965,,RT @JacobWhitesides : SUPER EXCITED FOR THE SHOW SATURDAY !!! CAN'T WAIT TO SEE HOW CREATIVE YOU ARE !!!,,,['gop'],"house,gop",88weighted
1966,," Police are responding to reported school shooting in Marysville , Washington , ne ...	Marysville,Washington
 RT @ofcprllvrs : MANA NIH PRILLVERS YANG BELOM BELI TIKET ANNIV KE 4TH ????	
 RT @DunyaNews : NAB may investigate anything , will still win next elections : Hamza https://t.co/rCZ0WGZXQ1 https://t.co/IiuuHw1WEL	
 Scary world we live in #MesaShooting	
 1st place baby #LGM	
 @apple_vs_fbi we Apple iPhone owners are in better hands against security breach than our government ! Stand for Apple .	Apple iPhone,Apple
 Father Reads Texts From Daughter Caught in San Bernardino Shooting …	San Bernardino
 RT @NiallOfficial : Back in London for the ball tomorrow ! Cardiff was quality tonight ! Can't wait to sleep	London,Cardiff
 @Aa_eiou may kilala kong gnyan ... Kaso yung dapat na hindi niya pinakawalan eh yung mismong kumawala	
 It may be impossible for anyone to budge you from your favorit ... More for Taurus	Taurus
 RT @Harry_Styles : Very excited for everyone to hear the album tomorrow . So happy people seem to like what they've heard so far . Love .	
 RT @NarryMcCuddly : THESE PICTURES LOOK SO WEIRD BUT WHEN YOU SEE THE 3RD PICTURE YOU JUST UNDERSTAND #ProudOfLouis	
 This tweet is the winner of the March Twitter lotto for Liverpool . @HerrHole claim your prize at @_UKLotto_	Twitter,Liverpool
 @carrick_fan My personal choice would be out of Bernd Leno or Jan Oblak	Bernd Leno
 VERSEAUUUU ! Ptn j'ai jamais autant kiffer mon signe astro #ShesKindaHotVMA https://t.co/TtHgSV2KJJ	
 Monday morning , one wish : a bath full of coffee . ( or my bed . That would also do )	
 RT @MarilynMonroeDC : I may be quiet , but I have so much on my mind .	
 Sunday Run ! @ Parque do Povo - Toledo , PR https://t.co/g8j9YsslHy	Parque do Povo,Toledo,PR
 Campaigning in New Hampshire Friday , Kentucky Sen	New Hampshire,Kentucky
 Vodafone breach alert follows TalkTalk hack	Vodafone,TalkTalk
 #BC #Jobs 1st Cook - MATCH British Columbia	#BC
 @bobpockrass It 's not looking good for 3:15 , but optimistic because it 's FL . If @NASCAR cancels it , well i hope they show it Monday night .	FL
 RT @DepEd_PH : QUEZON CITY | #walangpasok Classes at ALL LEVELS are suspended tomorrow ( July 9 , 2015) . | via @qclocalgovt	QUEZON CITY
 @dinahjane97 #askDinahJane tweet me so i can go to bed for school tomorrow	
 Hello everyone , have a great Tuesday ! looking forward to read your tweets :) ( insight by )	
 #BREAKING : NEW : 1 dead , as many as 15 injured in Fort Hood shooting . SWAT , 21 ambulances now on scene . - KWTX - CBS-TV #FortHood	Fort Hood,KWTX,CBS-TV
 @sekarang Minggu , 19 April 2015 Jam 01:20 #SiKake	
 RT @AmandaRollen : FLASH FLOOD WATCH until 4am Friday . #NMN #NASHFM1025	
 Forecast for Friday Night https://t.co/oeuxBrHkPt #Weather #Boston	
 12 dead from what @barackobama calls  yet another mass shooting "" #NavyYardShooting suspect ID'd Aaron Alexis",,,['gop'],"house,gop",88weighted
1967,,Lady Gaga & More Stars React to San Bernardino Mass Shooting : ' Inspire Peace ',"Lady Gaga,San Bernardino",,['gop'],"house,gop",88weighted
1968,,Our thoughts and prayers go out to those in DC who have been affected by the Washington Navy Yard shooting .,"DC,Washington Navy Yard",,['gop'],"house,gop",88weighted
1969,,"RT @bbcdoctorwho : Don't miss the new series of Doctor Who on BBC One , tomorrow night at 7.40 pm ! https://t.co/0xKg47Gett","Doctor Who,BBC One",,['gop'],"house,gop",88weighted
1970,,"RT @reaIweekndxo : 1st impressions don't really mean shit , met a lot of people who seemed cool as fuck but were really just full of shit .",,,['gop'],"house,gop",88weighted
1971,,March is about to happen .,,,['gop'],"house,gop",88weighted
1972,,FBI probes breach at Juniper Networks : CNN,"FBI,Juniper Networks,CNN",,['gop'],"house,gop",88weighted
1973,,Mon cousin il a 7ans il me bat au flipper c'est triste,,,['gop'],"house,gop",88weighted
1974,,RT @ALDUBARKADS_AUH : OFFICIAL HASHTAG : FRIDAY @officialaldub16 @ALDUBARKADS @ofctrendsetter #ALDUBTrust https://t.co/P3bmHYnbuk,,,['gop'],"house,gop",88weighted
1975,,I still want to know why that 4th down spot of the ball wasn't reviewed and no measurement,,,['gop'],"house,gop",88weighted
1976,,RT @lenadunham : CBIOT ( can't believe it 's only Tuesday ),,,['gop'],"house,gop",88weighted
1977,,@jennpallar ayun naman tas babalik pa ko jan eh uuwi din ulit mnl ? Mayaman sa pamasahe hahahah,,,['gop'],"house,gop",88weighted
1978,,"April 02 , 2015 at 01:25 AM #if9",,,['gop'],"house,gop",88weighted
1979,,Lifting tomorrow morning,,,['gop'],"house,gop",88weighted
1980,,RT @Itsrealmichie : The sun won't shine until you put the umbrella away . #SPSPakNaPak,,,['gop'],"house,gop",88weighted
1981,,To Kill A Mockingbird and Roll of Thunder Hear My Cry were my 2 favorite books in middle school/9th grade,"To Kill A Mockingbird,Roll of Thunder Hear My Cry",,['gop'],"house,gop",88weighted
1982,,"Twitter , Pinterest and Tumblr Notify of Security Breach After Zendesk Hack : Twitter , Pinterest an ... [ #social ]","Twitter,Pinterest,Tumblr,Zendesk,Twitter,Pinterest",,['gop'],"house,gop",88weighted
1983,,@thurrott So July seems to be more likely ?,,,['gop'],"house,gop",88weighted
1984,,"Ritrovato says Alexis was ' easy going guy ' but he liked to play shoot em up video games . Aaron bragged on shooting skills , but never saw gun","Ritrovato,Alexis,Aaron",,['gop'],"house,gop",88weighted
1985,,@adaniels33 spurs focus more on defense and keep score +or- 4 the entire game . Spurs are great at winning in last 6or7 min left in the 4th .,,,['gop'],"house,gop",88weighted
1986,,@CD_Penguins THISSS !!! MAY MGA NABABASA DIN AKONG HARD !! #YoureMyHomeUncover,,,['gop'],"house,gop",88weighted
1987,,"At least 3 officers hurt in Colorado Springs shooting , police say :",Colorado Springs,,['gop'],"house,gop",88weighted
1988,,"RT @patersonjeff : If Bieksa goes today , he leaves #Canucks : 14th all-time games played 9th all-time PIM 7th all-time playoffs games played","Bieksa,#Canucks",,['gop'],"house,gop",88weighted
1989,,Tomorrow is Friday . I'm going to hope its good enough to make up for the rest of my week .,,,['gop'],"house,gop",88weighted
1990,,"LIVE : San Bernardino shooting remains an active scene , 20 victims , up to ... https://youtu.be/ctLg0BhtP5Q",San Bernardino,,['gop'],"house,gop",88weighted
1991,,RT @JaDineLand_ : FEBRUARY BA NGAYON ? BAKIT ANG TAMIS TAMIS #ThankYouForTheLove https://t.co/1EbIoIxk7v,,,['gop'],"house,gop",88weighted
1992,,Los Angeles Commission Finds Police Officers Acted Improperly in Shooting of Unarmed Black Man : The Board of P ...,Los Angeles Commission,,['gop'],"house,gop",88weighted
1993,,"I posted 356 photos on Facebook in the album "" Asante Choir at Mother Emanuel A.M.E. - Holy Saturday ""","Facebook,Asante Choir,Mother Emanuel A.M.E.,Holy Saturday",,['gop'],"house,gop",88weighted
1994,,I thought people stopped doing this in 5th grade ? https://t.co/twpf40n244,,,['gop'],"house,gop",88weighted
1995,," may mga bagay talaga na hindi muna dapat paniwalaan agad kase akala mo seryoso pero hindi pala , edi ikaw rin aasa sa huli  @banengaaay",,,['gop'],"house,gop",88weighted
1996,,"[#LosAngelesWeather] , #Los Angeles weather July 7 , 8 , 9 , 10 , 11 , 12 2015",#Los Angeles,,['gop'],"house,gop",88weighted
1997,,Miramichi Folksong Festival Thursday Luncheon #959sunfm #Miramichi,Miramichi Folksong Festival Thursday Luncheon,,['gop'],"house,gop",88weighted
1998,,"News : Shooting Reported in Portland , Oregon , High School","Portland,Oregon",,['gop'],"house,gop",88weighted
1999,,RT @dR2_for_oversea : Almost 27th for the new single,,,['gop'],"house,gop",88weighted
2000,,#HBDBarunSobti https://t.co/HcwysFb5Cj,,,['gop'],"house,gop",88weighted
2001,,"March 01 , 2015 at 01:48 AM #TFB #TeamFollowBack #TFB #TFW #FF",,,['gop'],"house,gop",88weighted
2002,,@Kittykat12_ @DaisyTastrophy luke Bryan is August 29 for SF,luke Bryan,,['gop'],"house,gop",88weighted
